recipe,meal,total_mass_g,status,issues,kcal,protein,fat,carbs,fiber
Фисташки с мандарином,Перекус,96,approved,,112.0,3.1,5.7,14.3,2.7
Фета с помидорами и огурцом,Перекус,222,approved,,141.0,7.4,9.3,8.4,1.5
Авокадо-тост мини,Перекус,168,approved,,172.3,6.3,8.0,21.8,6.4
Чиа-йогурт с клюквой,Перекус,178,approved,,158.3,12.7,5.5,14.8,5.6
Курица с овощами на сковороде,Ужин,661,approved,,399.5,44.1,11.1,34.7,9.5
Курица с цветной капустой,Ужин,466,approved,,474.1,41.2,24.6,25.7,6.2
Индейка с брокколи,Ужин,536,approved,,436.9,44.5,19.0,26.6,6.7
Индейка с бататом,Ужин,486,approved,,494.1,41.4,15.0,47.6,7.5
Говядина с овощами,Ужин,658,approved,,473.5,40.7,21.7,35.1,9.8
Свинина с капустой,Ужин,449,approved,,496.1,34.6,28.3,28.1,7.3
Форель с брокколи и картофелем,Ужин,573,approved,,514.3,42.3,16.4,51.0,9.8
Лосось с бататом,Ужин,476,approved,,625.0,35.0,33.4,46.1,9.0
Форель с овощами,Ужин,575,approved,,412.9,34.4,24.4,16.2,5.5
Треска с брокколи,Ужин,605,approved,,504.3,40.3,16.2,53.1,10.3
Треска с цветной капустой,Ужин,467,approved,,335.9,36.9,16.2,14.6,6.3
Тунец с овощным салатом,Ужин,611,approved,,454.0,42.0,24.5,21.3,8.8
Креветки с кабачком,Ужин,593,approved,,362.3,38.9,16.2,20.0,7.5
Креветки с брокколи,Ужин,513,approved,,439.9,38.7,25.8,20.2,6.9
Скумбрия с салатом,Ужин,539,approved,,469.3,29.5,33.6,16.0,4.5
Омлет с овощами,Ужин,480,approved,,259.0,20.8,13.0,18.1,6.5
Омлет с фетой и шпинатом,Ужин,244,approved,,331.9,23.6,24.9,5.9,1.8
Тофу с брокколи,Ужин,513,approved,,449.9,36.4,25.9,29.2,10.8
Тофу с баклажаном,Ужин,603,approved,,353.0,36.0,15.8,29.0,12.5
Чечевица с овощами,Ужин,484,approved,,403.5,19.0,19.1,48.0,17.6
Нут с брокколи,Ужин,655,approved,,612.4,38.5,25.5,66.5,18.6
Фасоль с овощами,Ужин,511,approved,,525.3,20.2,28.6,56.0,20.0
Тёплый салат с курицей,Ужин,621,approved,,478.4,39.8,26.4,23.5,8.1
Тёплый салат с индейкой и свёклой,Ужин,558,approved,,402.2,41.3,15.2,26.4,6.0
Тёплый салат с форелью,Ужин,476,approved,,486.2,33.7,33.4,16.5,8.1
Запечённый картофель с творогом и зеленью,Ужин,603,approved,,535.5,29.6,20.3,60.9,7.6
"Батат с чечевицей, фетой и шпинатом",Ужин,525,approved,,551.9,25.4,14.8,83.5,21.1
Запечённая цветная капуста с нутом,Ужин,520,approved,,573.6,35.8,25.0,58.0,16.0
Баклажан с индейкой,Ужин,573,approved,,563.0,57.7,24.1,31.4,7.4
Кабачок с курицей и сыром,Ужин,533,approved,,508.5,48.3,24.7,24.8,4.2
Тыква с чечевицей,Ужин,403,approved,,377.0,18.5,18.8,42.5,13.8
Перец с фасолью и киноа,Ужин,511,approved,,656.4,27.7,23.0,91.0,20.2
Киноа с яйцом и овощами,Ужин,501,approved,,558.5,30.5,22.9,62.5,11.9
Гречка с тофу и шпинатом,Ужин,509,approved,,545.8,43.2,17.8,68.3,14.4
Булгур с креветками,Ужин,574,approved,,557.9,44.4,16.6,65.8,12.8
Кускус с тунцом,Ужин,520,approved,,591.4,47.9,15.1,65.3,6.6
Паста с тунцом и шпинатом,Ужин,511,approved,,618.0,52.7,16.9,64.2,11.5
Паста с тофу и овощами,Ужин,600,approved,,647.9,44.2,22.6,74.4,15.4
Рис с яйцом и овощами,Ужин,440,approved,,512.6,24.6,14.5,74.7,10.3
Мультиварочный нут с овощами,Ужин,583,approved,,497.8,20.7,21.9,63.8,19.0
Овсянка с клубникой и йогуртом,Завтрак,338.0,approved,,428.0,26.2,12.0,53.5,12.0
Овсянка с вишней и миндалём,Завтрак,342.0,approved,,457.0,17.5,18.8,56.7,9.1
Овсянка с грушейм и льном,Завтрак,383.0,approved,,459.5,15.8,15.6,66.2,13.4
Гречневая каша с грушейм,Завтрак,397.0,approved,,486.2,17.5,12.5,83.5,15.7
Йогурт-боул с вишней и чиа,Завтрак,392.0,approved,,340.6,20.7,8.5,48.7,9.0
Творог с клубникой и бананом,Завтрак,392.0,approved,,410.8,34.8,13.9,43.0,9.4
Омлет с брокколи и помидорами,Завтрак,387.0,approved,,408.2,28.4,28.5,13.6,4.1
Омлет с зелёной фасолью и сыром,Завтрак,318.0,approved,,350.7,27.5,22.1,13.6,5.6
Омлет с курицей и перцем,Завтрак,430.0,approved,,446.4,52.6,20.5,11.7,3.1
Яйца с треской и шпинатом,Завтрак,375.0,approved,,368.5,44.3,19.4,6.1,2.5
Французский тост с творогом и вишней,Завтрак,330.0,approved,,475.6,36.1,14.6,54.5,7.0
Фриттата с брокколи и творогом,Завтрак,304.0,approved,,355.9,34.9,21.3,10.1,2.2
Каша из булгура с вишней,Завтрак,370.6,approved,,487.2,18.4,15.9,74.5,12.1
Смузи с бананом и клубникой,Завтрак,432.0,approved,,456.1,25.0,8.0,72.5,10.0
Чиа-пудинг с вишней,Завтрак,464.0,approved,,352.4,25.2,14.0,32.3,6.2
Чиа-пудинг с клубникой,Завтрак,392.0,approved,,301.0,10.0,10.7,46.1,9.4
Горячий сэндвич с курицей,Завтрак,425.0,approved,,571.7,52.2,24.4,36.4,5.8
Бататомный завтрак с яйцом,Завтрак,576.0,approved,,446.7,23.1,16.9,55.1,10.5
Индейка с рисом и брокколи,Обед,484.0,approved,,704.8,52.4,19.6,82.0,6.5
Тофу с гречкой и кабачком,Обед,680.5,approved,,708.2,50.6,27.2,82.7,16.0
Курица с кускусомом и перцем,Обед,572.0,approved,,610.4,57.9,6.8,76.4,9.7
Тофу с киноа и авокадо,Обед,536.5,approved,,814.5,46.6,42.2,76.4,15.2
Курица с гречкой и овощами,Обед,594.0,approved,,621.7,52.4,13.1,78.6,12.3
Курица с бурым рисом,Обед,484.0,approved,,722.5,51.0,22.9,80.5,8.2
Курица с кускусом,Обед,683.0,approved,,618.9,59.4,7.5,76.5,8.1
Говядина с кускусомом,Обед,540.0,approved,,728.7,50.3,23.1,81.0,10.2
Индейка с гречкой и свёклой,Обед,579.0,approved,,648.0,51.9,16.8,78.3,12.9
Свинина с бататом и капустой,Обед,622.0,approved,,693.5,41.2,29.2,68.2,12.2
Форель с киноа и авокадо,Обед,494.0,approved,,763.4,45.5,39.4,59.5,11.4
Лосось с картофелем и зелёной фасолью,Обед,647.0,approved,,805.3,40.8,45.6,58.6,12.7
Форель с кускусомом,Обед,592.0,approved,,731.2,47.1,25.6,78.3,12.1
Треска с булгуромом и овощами,Обед,638.2,approved,,612.2,46.9,17.4,72.2,15.0
Лосось с картофелем,Обед,647.0,approved,,849.4,45.5,49.2,54.7,10.4
Креветки с булгуромом и брокколи,Обед,488.2,approved,,681.9,50.3,26.7,70.6,14.7
Скумбрия с бататом,Обед,697.0,approved,,695.8,35.5,35.7,61.8,10.7
Чечевица с киноа и брокколи,Обед,481.0,approved,,644.4,29.1,23.2,88.4,21.1
Тофу с гречкой и зелёной фасолью,Обед,629.0,approved,,650.0,48.0,19.8,85.9,20.9
Тофу с булгуромом и овощами,Обед,595.2,approved,,613.7,45.3,18.2,82.0,18.2
Паста с тофу и шпинатом,Обед,614.5,approved,,763.2,52.2,30.7,81.2,17.3
Паста с курицей и кабачком,Обед,669.0,approved,,693.2,56.4,17.7,77.3,13.0
Кускус с говядиной и овощами,Обед,620.0,approved,,750.7,49.2,23.0,88.2,13.4
Кускус с тофу и овощами,Обед,678.5,approved,,688.3,53.2,20.2,82.2,11.0
Перловка с курицей и овощами,Обед,491.0,approved,,609.5,45.8,15.2,76.2,15.0
Бататомный боул с тунцом,Обед,798.0,approved,,693.3,64.2,18.8,66.2,9.2
Батат с тофу и авокадо,Обед,630.5,approved,,733.7,40.2,40.9,64.1,16.9
Батат с нутом и брокколи,Обед,711.0,approved,,792.2,42.0,25.9,105.2,23.0
Тёплый салат с треской,Обед,707.0,approved,,501.5,37.1,16.0,54.8,9.7
Творог с вишней,Перекус,180.0,approved,,175.2,21.0,6.2,10.8,1.0
Йогурт с клубникой и чиа,Перекус,190.0,approved,,155.4,12.9,5.7,13.6,4.6
Груша с грецким орехом,Перекус,168,approved,,203.2,3.3,11.8,25.0,5.9
Тост с творогом и кабачком,Перекус,382.0,approved,,352.8,31.6,9.4,39.3,7.1
Хумус с огурцом и кабачком,Перекус,216.0,approved,,88.6,4.6,4.0,11.1,3.5
Мини-омлет с брокколи,Перекус,168.0,approved,,228.1,21.1,13.9,6.2,1.6
Смузи клубникой-йогурт,Перекус,252.0,approved,,170.9,12.0,2.8,26.0,3.1
Ореховый перекус с грушейм,Перекус,102.0,approved,,129.8,2.2,7.9,15.2,3.6
Индейка с овощами на сковороде,Ужин,661.0,approved,,390.3,45.9,9.4,34.7,9.5
Тофу с цветной капустой,Ужин,488.9,approved,,543.8,36.7,36.4,31.0,9.7
Курица с брокколи,Ужин,536.0,approved,,446.0,42.7,20.7,26.6,6.7
Курица с бататом,Ужин,486.0,approved,,503.3,39.5,16.7,47.6,7.5
Индейка с баклажаном и булгуром,Ужин,414,approved,,464.7,48.4,4.2,61.9,13.1
Лосось с зелёной фасолью,Ужин,440.0,approved,,497.7,33.4,33.3,17.3,7.7
Треска с бататом,Ужин,476.0,approved,,443.5,32.1,15.7,46.1,9.0
Треска с зелёной фасолью,Ужин,605.0,approved,,499.4,38.7,15.9,53.1,11.6
Лосось с цветной капустой,Ужин,467.0,approved,,551.3,40.3,37.2,14.6,6.3
Креветки с баклажаном,Ужин,593.0,approved,,375.2,38.6,16.0,24.7,10.7
Креветки с зелёной фасолью,Ужин,513.0,approved,,435.1,37.1,25.5,20.2,8.2
"Фриттата с брокколи, фетой и помидорами",Ужин,359,approved,,352.2,24.3,24.1,13.7,3.9
Тофу с зелёной фасолью,Ужин,513.0,approved,,445.0,34.8,25.6,29.2,12.1
Нут с зелёной фасолью,Ужин,655.0,approved,,607.6,36.9,25.2,66.5,19.9
Тёплый салат с тофу,Ужин,643.9,approved,,548.1,35.3,38.2,28.8,11.6
Тёплый салат с курицей и свёклой,Ужин,558.0,approved,,411.3,39.5,16.9,26.4,6.0
Запечённый бататом с творогом и зеленью,Ужин,603.0,approved,,560.7,28.5,20.3,69.3,9.9
Баклажан с курицей,Ужин,573.0,approved,,572.2,55.9,25.7,31.4,7.4
Кабачок с тофу и сыром,Ужин,555.9,approved,,578.2,43.8,36.6,30.1,7.7
Кабачком с фасолью и киноа,Ужин,511.0,approved,,637.5,28.0,23.0,87.1,18.7
Гречка с тофу и брокколи,Ужин,509.0,approved,,555.7,43.1,17.8,71.3,14.8
Кускус с креветками,Ужин,574.0,approved,,581.0,44.9,16.1,66.5,7.7
Киноа с тунцом,Ужин,520.0,approved,,586.0,48.8,18.7,56.5,8.0
Паста с тунцом и брокколи,Ужин,511.0,approved,,627.9,52.6,16.9,67.3,11.9
Омлет с индейкой и кабачком,Завтрак,430,approved,,418.3,54.7,18.8,7.8,1.6
Яйца с форелью и шпинатом,Завтрак,375,approved,,463.6,47.9,27.8,6.1,2.5
Тофу с рисом и брокколи,Обед,484,approved,,755.8,41.0,32.3,87.1,9.9
Индейка с гречкой и кабачком,Обед,655,approved,,620.5,57.7,12.1,76.9,12.1
Индейка с булгуром и перцем,Обед,572,approved,,574.7,59.4,5.5,75.7,15.4
Индейка с киноа и авокадо,Обед,511,approved,,726.8,53.6,27.1,70.5,11.3
Индейка с перловкой и овощами,Обед,594,approved,,618.2,52.1,9.6,83.1,16.5
Индейка с киноаом,Обед,683,approved,,602.7,62.3,9.6,66.7,9.6
Индейка с булгуром,Обед,540,approved,,604.0,53.4,10.0,80.2,15.8
Говядина с перловкой и свёклой,Обед,579,approved,,754.0,45.8,28.8,82.8,17.1
Треска с киноа и авокадо,Обед,494,approved,,657.8,41.5,30.1,59.5,11.4
Форель с картофелем и зелёной фасолью,Обед,548,approved,,495.6,39.2,15.7,49.6,10.5
Лосось с рисом и овощами,Обед,642,approved,,878.1,47.4,40.6,77.3,7.0
Треска с бататом и цветной капустой,Обед,564,approved,,416.6,37.3,6.9,53.3,10.2
Креветки с рисом и зелёной фасолью,Обед,492,approved,,703.0,45.2,26.2,75.7,8.2
Тофу с перловкой и брокколи,Обед,629,approved,,662.1,47.5,18.5,90.4,23.7
Паста с индейкой и шпинатом,Обед,589,approved,,675.4,59.2,15.7,75.3,13.4
Паста с индейкой и баклажаном,Обед,669,approved,,697.4,58.1,15.6,82.5,16.6
Булгур с индейкой и овощами,Обед,620,approved,,626.0,52.3,10.0,87.4,19.0
Кускус с индейкой и овощами,Обед,653,approved,,600.6,60.3,5.2,76.3,7.1
Батат с индейкой и авокадо,Обед,605,approved,,645.9,47.3,25.8,58.2,13.0
Тофу с овощами на сковороде,Ужин,661,approved,,436.2,35.6,20.9,39.2,12.6
Индейка с цветной капустой,Ужин,466,approved,,464.9,43.1,22.9,25.7,6.2
Индейка с зелёной фасолью,Ужин,536,approved,,432.0,42.9,18.6,26.6,8.0
Форель с брокколи,Ужин,440,approved,,416.2,35.7,24.3,17.3,6.4
Форель с бататом,Ужин,476,approved,,538.6,35.7,24.0,46.1,9.0
Форель с булгуром и брокколи,Ужин,403,approved,,546.7,44.8,16.9,58.5,12.2
Кабачок с индейкой и сыром,Ужин,533,approved,,499.3,50.1,23.0,24.8,4.2
Перловка с тофу и шпинатом,Ужин,509,approved,,551.9,41.1,16.3,72.3,18.3
"Йогурт с бананом, чиа и миндалём",Завтрак,302,approved,,338.5,21.5,13.0,37.0,7.5
"Йогурт с клубникой, овсянкой и миндалём",Завтрак,350,approved,,386.1,24.7,13.9,41.4,7.8
Овсянка с вишней и грецкими орехами,Завтрак,350,approved,,459.6,16.2,19.7,56.7,8.1
Овсянка с грушей и миндалём,Завтрак,370,approved,,466.8,16.5,17.2,63.9,11.1
"Омлет с фетой, шпинатом и помидорами",Завтрак,329,approved,,334.3,23.5,24.0,9.2,2.8
"Омлет с моцареллой, помидорами и базиликом",Завтрак,288,approved,,331.1,26.5,22.6,7.2,1.5
"Тост с авокадо, яйцом и помидорами",Завтрак,313,approved,,403.9,20.0,19.9,42.1,11.4
Творог с бананом и грецкими орехами,Завтрак,295,approved,,404.9,34.0,19.1,30.5,3.6
Греческий йогурт с манго и фисташками,Завтрак,315,approved,,287.7,20.2,10.8,29.4,3.4
"Киноа-боул с курицей, авокадо и томатами",Обед,412,approved,,585.2,45.3,22.1,52.7,10.4
"Булгур с индейкой, кабачком и йогуртовым соусом",Обед,409,approved,,467.8,49.2,4.4,60.9,10.5
"Кускус с курицей, перцем и лимонной заправкой",Обед,374,approved,,542.0,44.3,10.8,63.3,6.7
"Рис с индейкой, брокколи и соево-имбирным соусом",Обед,392,approved,,489.6,46.1,3.7,68.2,5.1
"Говядина с рисом, перцем и имбирём",Обед,382,approved,,575.0,39.9,16.3,66.1,4.1
"Тофу с киноа, брокколи и тахини",Обед,414,approved,,630.7,45.0,27.9,62.1,13.6
"Чечевица с булгуром, томатами и петрушкой",Обед,382,approved,,465.5,23.1,6.8,84.7,22.3
"Нут с кускусом, перцем и тахини",Обед,384,approved,,642.8,26.7,13.1,106.6,19.9
Паста с курицей и томатно-базиликовым соусом,Обед,393,approved,,539.2,46.3,11.1,61.4,9.2
Паста с консервированным тунцом и томатами,Обед,372,approved,,511.7,46.6,8.4,60.4,9.0
Лосось с киноа и зелёной фасолью,Ужин,393,approved,,632.2,41.5,28.5,51.2,10.1
Треска с картофелем и лимонно-укропной заправкой,Ужин,534,approved,,389.5,36.4,6.6,46.1,6.3
Форель с кускусом и брокколи,Ужин,403,approved,,567.1,45.3,16.5,59.1,7.7
Креветки с рисом и кабачком в соево-имбирном соусе,Ужин,407,approved,,419.6,42.0,2.1,58.8,2.6
Свинина с гречкой и горчичным соусом,Ужин,375,approved,,523.0,43.4,15.4,57.1,11.5
"Тёплый салат с курицей, свёклой и фетой",Ужин,409,approved,,393.1,41.0,16.9,19.3,5.0
"Салат с консервированным тунцом, яйцом и картофелем",Ужин,551,approved,,443.2,44.3,12.8,38.5,6.5
Запечённый батат с нутом и тахини,Ужин,492,approved,,582.1,22.5,14.2,97.2,22.2
Тофу с баклажаном и рисом в соевом соусе,Ужин,417,approved,,534.4,36.5,16.4,68.5,9.3
"Киноа с чечевицей, огурцом и лимонной заправкой",Ужин,455,approved,,489.6,23.9,10.6,78.4,18.4
Творог с малиной и миндалём,Перекус,275,approved,,332.4,31.6,16.2,20.1,8.4
"Тост с хумусом, огурцом и перцем",Перекус,320,approved,,325.4,16.0,10.6,45.7,11.3
Кефир с бананом и льном,Перекус,320,approved,,250.1,9.4,10.0,32.4,5.0
Рикотта с клубникой и мёдом,Перекус,248,approved,,271.5,14.1,16.0,19.4,2.4
Йогурт с яблоком и грецкими орехами,Перекус,295,approved,,277.3,17.0,13.2,25.3,3.9
Авокадо-тост с помидорами,Перекус,233,approved,,273.0,10.1,12.5,34.9,10.0
Скумбрия с картофелем и огуречным салатом,Ужин,539,approved,,525.1,37.1,22.1,44.3,5.8
"Индейка с перловкой, кабачком и шпинатом",Обед,463,approved,,469.7,49.0,4.4,60.0,13.1
Творог с клубникой и грецкими орехами,Перекус,295,approved,,330.1,30.3,18.1,16.1,3.4
Кефир с черникой и чиа,Перекус,330,approved,,222.2,9.0,8.9,27.0,5.8
Омлет с брокколи и чеддером,Завтрак,254,approved,,362.4,25.9,26.3,8.8,2.6
Курица с гречкой и зелёной фасолью,Обед,406,approved,,480.8,48.3,7.2,59.9,11.7
Треска с киноа и кабачком,Ужин,404,approved,,435.7,41.1,10.3,44.7,6.3
Кускус с консервированным тунцом и огурцом,Обед,420,approved,,466.7,40.8,6.7,59.2,5.3
Булгур быстрого приготовления с нутом и томатами,Обед,435,approved,,503.9,20.8,9.6,90.8,19.7
Омлет с помидорами и фетой за 10 минут,Ужин,339,approved,,335.6,23.4,24.0,9.7,2.8
Тофу с кабачком и соевым соусом,Ужин,344,approved,,306.3,30.5,19.0,11.7,5.0
Креветки с кускусом и лимоном,Ужин,340,approved,,425.4,40.8,6.3,51.4,3.9
