recipe,master_qa_status,conflict_count,failed_checks
Мультиварочный нут с овощами,approved,0,
Овсянка с клубникой и йогуртом,approved,0,
Овсянка с вишней и миндалём,approved,0,
Овсянка с грушейм и льном,approved,0,
Гречневая каша с грушейм,approved,0,
Йогурт-боул с вишней и чиа,approved,1,qualityStatus
Творог с клубникой и бананом,approved,1,qualityStatus
Омлет с брокколи и помидорами,approved,0,
Омлет с зелёной фасолью и сыром,approved,0,
Омлет с курицей и перцем,approved,0,
Скрэмбл с треской и шпинатом,approved,0,
Французский тост с творогом и вишней,approved,0,
Фриттата с брокколи и творогом,approved,0,
Каша из булгура с вишней,approved,0,
Смузи с бананом и клубникой,approved,0,
Чиа-пудинг с вишней,approved,1,qualityStatus
Чиа-пудинг с клубникой,approved,1,qualityStatus
Горячий сэндвич с курицей,approved,0,
Бататомный завтрак с яйцом,approved,0,
Индейка с рисом и брокколи,approved,0,
Тофу с гречкой и кабачком,approved,0,
Курица с кускусом и перцем,approved,0,
Тофу с киноа и авокадо,approved,0,
Курица с гречкой и овощами,approved,0,
Курица с бурым рисом,approved,0,
Курица с кускусом,approved,0,
Говядина с кускусом,approved,0,
Индейка с гречкой и свёклой,approved,0,
Свинина с бататом и капустой,approved,0,
Форель с киноа и авокадо,approved,0,
Лосось с картофелем и зелёной фасолью,approved,0,
Форель с кускусом,approved,0,
Треска с булгуромом и овощами,approved,0,
Лосось с картофелем,approved,0,
Креветки с булгуромом и брокколи,approved,0,
Скумбрия с бататом,approved,0,
Чечевица с киноа и брокколи,approved,0,
Тофу с гречкой и зелёной фасолью,approved,0,
Тофу с булгуромом и овощами,approved,0,
Паста с тофу и шпинатом,approved,0,
Паста с курицей и кабачком,approved,0,
Кускус с говядиной и овощами,approved,0,
Кускус с тофу и овощами,approved,0,
Перловка с курицей и овощами,approved,0,
Бататомный боул с тунцом,approved,0,
Батат с тофу и авокадо,approved,0,
Батат с нутом и брокколи,approved,0,
Тёплый салат с треской,approved,0,
Творог с вишней,approved,1,qualityStatus
Йогурт с клубникой и чиа,approved,1,qualityStatus
Груша с грецким орехом,approved,1,qualityStatus
Тост с творогом и кабачком,approved,0,
Хумус с огурцом и кабачком,approved,0,
Мини-омлет с брокколи,approved,0,
Смузи клубникой-йогурт,approved,1,qualityStatus
Ореховый перекус с грушейм,approved,1,qualityStatus
Индейка с овощами на сковороде,approved,0,
Тофу с цветной капустой,approved,0,
Курица с брокколи,approved,0,
Курица с бататом,approved,0,
Индейка с баклажаном и булгуром,approved,0,
Лосось с зелёной фасолью,approved,0,
Треска с бататом,approved,0,
Треска с зелёной фасолью,approved,0,
Лосось с цветной капустой,approved,0,
Креветки с баклажаном,approved,0,
Креветки с зелёной фасолью,approved,0,
"Фриттата с брокколи, фетой и помидорами",approved,0,
Тофу с зелёной фасолью,approved,0,
Нут с зелёной фасолью,approved,0,
Тёплый салат с тофу,approved,0,
Тёплый салат с курицей и свёклой,approved,0,
Запечённый бататом с творогом и зеленью,approved,0,
Баклажан с курицей,approved,0,
Кабачок с тофу и сыром,approved,0,
Кабачком с фасолью и киноа,approved,0,
Гречка с тофу и брокколи,approved,0,
Кускус с креветками,approved,0,
Киноа с тунцом,approved,0,
Паста с тунцом и брокколи,approved,0,
Омлет с индейкой и кабачком,approved,0,
Скрэмбл с форелью и шпинатом,approved,0,
Тофу с рисом и брокколи,approved,0,
Индейка с гречкой и кабачком,approved,0,
Индейка с булгуром и перцем,approved,0,
Индейка с киноа и авокадо,approved,0,
Индейка с перловкой и овощами,approved,0,
Индейка с киноаом,approved,0,
Индейка с булгуром,approved,0,
Говядина с перловкой и свёклой,approved,0,
Треска с киноа и авокадо,approved,0,
Форель с картофелем и зелёной фасолью,approved,0,
Лосось с рисом и овощами,approved,0,
Треска с бататом и цветной капустой,approved,0,
Креветки с рисом и зелёной фасолью,approved,0,
Тофу с перловкой и брокколи,approved,0,
Паста с индейкой и шпинатом,approved,0,
Паста с индейкой и баклажаном,approved,0,
Булгур с индейкой и овощами,approved,0,
Кускус с индейкой и овощами,approved,0,
Батат с индейкой и авокадо,approved,0,
Тофу с овощами на сковороде,approved,0,
Индейка с цветной капустой,approved,0,
Индейка с зелёной фасолью,approved,0,
Форель с брокколи,approved,0,
Форель с бататом,approved,0,
Форель с булгуром и брокколи,approved,0,
Кабачок с индейкой и сыром,approved,0,
Перловка с тофу и шпинатом,approved,0,
"Йогурт с бананом, чиа и миндалём",approved,0,
"Йогурт с клубникой, овсянкой и миндалём",approved,0,
Овсянка с вишней и грецкими орехами,approved,0,
Овсянка с грушей и миндалём,approved,0,
"Омлет с фетой, шпинатом и помидорами",approved,0,
"Омлет с моцареллой, помидорами и базиликом",approved,0,
"Тост с авокадо, яйцом и помидорами",approved,0,
Творог с бананом и грецкими орехами,approved,0,
Греческий йогурт с манго и фисташками,approved,0,
"Киноа-боул с курицей, авокадо и томатами",approved,0,
"Булгур с индейкой, кабачком и йогуртовым соусом",approved,0,
"Кускус с курицей, перцем и лимонной заправкой",approved,0,
"Рис с индейкой, брокколи и соево-имбирным соусом",approved,0,
"Говядина с рисом, перцем и имбирём",approved,0,
"Тофу с киноа, брокколи и тахини",approved,0,
"Чечевица с булгуром, томатами и петрушкой",approved,0,
"Нут с кускусом, перцем и тахини",approved,0,
Паста с курицей и томатно-базиликовым соусом,approved,0,
Паста с консервированным тунцом и томатами,approved,0,
Лосось с киноа и зелёной фасолью,approved,0,
Треска с картофелем и лимонно-укропной заправкой,approved,0,
Форель с кускусом и брокколи,approved,0,
Креветки с рисом и кабачком в соево-имбирном соусе,approved,0,
Свинина с гречкой и горчичным соусом,approved,0,
"Тёплый салат с курицей, свёклой и фетой",approved,0,
"Салат с консервированным тунцом, яйцом и картофелем",approved,0,
Запечённый батат с нутом и тахини,approved,0,
Тофу с баклажаном и рисом в соевом соусе,approved,0,
"Киноа с чечевицей, огурцом и лимонной заправкой",approved,0,
Творог с малиной и миндалём,approved,0,
"Тост с хумусом, огурцом и перцем",approved,0,
Кефир с бананом и льном,approved,0,
Рикотта с клубникой и мёдом,approved,0,
Йогурт с яблоком и грецкими орехами,approved,0,
Авокадо-тост с помидорами,approved,0,
Скумбрия с картофелем и огуречным салатом,approved,0,
"Индейка с перловкой, кабачком и шпинатом",approved,0,
Творог с клубникой и грецкими орехами,approved,0,
Кефир с черникой и чиа,approved,0,
Омлет с брокколи и чеддером,approved,0,
Курица с гречкой и зелёной фасолью,approved,0,
Треска с киноа и кабачком,approved,0,
Кускус с консервированным тунцом и огурцом,approved,0,
Булгур быстрого приготовления с нутом и томатами,approved,0,
Омлет с помидорами и фетой за 10 минут,approved,0,
Тофу с кабачком и соевым соусом,approved,0,
Креветки с кускусом и лимоном,approved,0,
Тёплый боул с фасолью и рисом,approved,0,
Тост с консервированным тунцом и авокадо,approved,0,
Тёплый кускус с чечевицей и шпинатом,approved,0,
Гречка с яйцом и шпинатом,approved,0,
Картофель с фасолью и томатным соусом,approved,0,
Чечевица с рисом и морковью,approved,0,
Омлет с картофелем и шпинатом,approved,0,
Булгур с чечевицей и морковью,approved,0,
Рис с фасолью и перцем,approved,0,
"Овсянка с бананом, льном и сливочным маслом",approved,0,
Овсянка с яблоком и семенами льна,approved,0,
Рис с курицей и морковью,approved,0,
Индейка с гречкой и морковью,approved,0,
Треска с картофелем и морковью,approved,0,
Курица с булгуром и кабачком,approved,0,
Рисовая каша с бананом на воде,approved,0,
Омлет с кабачком и помидорами,approved,0,
Курица с рисом и кабачком,approved,0,
Индейка с картофелем и кабачком,approved,0,
Треска с рисом и морковью,approved,0,
Курица с картофелем и шпинатом,approved,0,
Тост с яичным салатом и огурцом,approved,0,
Рисовая каша с бананом и черникой,approved,0,
Тост с яйцом и авокадо,approved,0,
Овсянка с бананом и семенами льна,approved,0,
Кускус с яйцом и помидорами,approved,0,
"Тост с хумусом, яйцом и огурцом",approved,0,
Салат с консервированным тунцом и кускусом,approved,0,
Тёплый рис с яйцом и шпинатом,approved,0,
Яичница с помидорами и шпинатом,approved,0,
Тофу с помидорами и шпинатом,approved,0,
Консервированный тунец с картофелем и огурцом,approved,0,
Кускус с тофу и огурцом,approved,0,
Булгур с индейкой и кабачком,approved,0,
Гречка с курицей и грибами,approved,0,
Рис с индейкой и овощами,approved,0,
Чечевица с томатами и шпинатом,approved,0,
Киноа с курицей и брокколи,approved,0,
Перловка с индейкой и грибами,approved,0,
Рис с тофу и овощами,approved,0,
Гречка с чечевицей и морковью,approved,0,
Булгур с нутом и томатами,approved,0,
Киноа с тофу и шпинатом,approved,0,
Рис с курицей и тыквой,approved,0,
Чечевица с индейкой и овощами,approved,0,
Курица с брокколи в аэрогриле,approved,0,
Индейка с кабачком в аэрогриле,approved,0,
Лосось с брокколи в аэрогриле,approved,0,
Треска с кабачком в аэрогриле,approved,0,
Креветки с перцем в аэрогриле,approved,0,
Тофу с брокколи в аэрогриле,approved,0,
Курица с бататом в аэрогриле,approved,0,
Индейка с цветной капустой в аэрогриле,approved,0,
Форель с кабачком в аэрогриле,approved,0,
Тофу с бататом в аэрогриле,approved,0,
Креветки с брокколи в аэрогриле,approved,0,
Курица с цветной капустой в аэрогриле,approved,0,
