old_name,new_name
Тёплый салат с курицей — с перец,Салат с курицей и огурцами
Тёплый салат с форелью — с перец,Салат с форелью и перцем
Картофель с творогом и салатом — с рис,Салат с творогом и огурцами
Картофель с творогом и салатом — с помидоры,Салат с творогом и помидорами
Запечённая цветная капуста с нутом — с помидоры,Нут с помидорами №2
Баклажан с индейкой — с перец,Индейка с помидорами №2
Кабачок с курицей и сыром — с перец,Курица с помидорами
Тыква с чечевицей — с помидоры,Чечевица с помидорами
Перец с фасолью и киноа — с рис,Фасоль с рисом и помидорами
Перец с фасолью и киноа — с кабачок,Фасоль с киноа и помидорами
Киноа с яйцом и овощами — с рис,Яйца с рисом и брокколи
Киноа с яйцом и овощами — с помидоры,Яйца с киноа и помидорами
Гречка с тофу и шпинатом — с рис,Тофу с рисом и шпинатом
Гречка с тофу и шпинатом — с перец,Тофу с гречкой и помидорами №2
Булгур с креветками — с рис,Креветки с рисом и помидорами №3
Булгур с креветками — с перец,Креветки с булгуром и помидорами
Кускус с тунцом — с рис,Тунец с рисом и помидорами
Кускус с тунцом — с перец,Тунец с кускусом и помидорами
Рис с яйцом и овощами — с помидоры,Яйца с бурым рисом и помидорами
Мультиварочный нут с овощами — с перец,Нут с помидорами №3
Гречневая каша с яблоком — вариант с булгур,Каша из булгура с яблоком
Омлет со шпинатом и томатами — вариант с кабачок,Омлет с помидорами и чеддером №2
Омлет с брокколи и сыром — вариант с перец,Омлет с перцем и гаудой
Омлет с индейкой и перцем — вариант с кабачок,Омлет с кабачком
Яичница с авокадо и тостом — вариант с кабачок,Омлет с кабачком №2
Тост с авокадо и яйцом — вариант с кабачок,Тост с яйцом №3
Тост с тунцом и огурцом — вариант с перец,Тост с тунцом №4
Буррито-завтрак с яйцом и фасолью — вариант с кабачок,Тост с яйцом №4
Рисовая каша с вишней — вариант с булгур,Каша из булгура с вишней
Тост с фетой и томатами — вариант с кабачок,Тост с фетой №2
Горячий сэндвич с индейкой — вариант с кабачок,Тост с индейкой №2
Киноа-омлет с овощами — вариант с брокколи,Омлет с брокколи
Курица с рисом и брокколи — вариант с перец,Курица с рисом и перцем
Курица с гречкой и кабачком — вариант с брокколи,Курица с гречкой и брокколи №2
Курица с булгуром и перцем — вариант с кабачок,Курица с булгуром и шпинатом №2
Курица с киноа и авокадо — вариант с перец,Курица с киноа и перцем
Индейка с гречкой и овощами — вариант с кабачок,Индейка с гречкой и огурцами
Индейка с бурым рисом — вариант с перец,Индейка с бурым рисом и перцем
Индейка с кускусом — вариант с брокколи,Индейка с кускусом и брокколи
Говядина с булгуром — вариант с кабачок,Говядина с булгуром и шпинатом №2
Говядина с гречкой и свёклой — вариант с перец,Говядина с гречкой и огурцами
Свинина с картофелем и капустой — вариант с гречка,Свинина постная с гречкой и капустой
Лосось с киноа и авокадо — вариант с перец,Лосось с киноа и перцем
Лосось с картофелем и брокколи — вариант с перец,Лосось с картофелем и перцем
Форель с булгуром — вариант с кабачок,Форель с булгуром и кабачком
Треска с рисом и овощами — вариант с брокколи,Треска с рисом и брокколи №2
Треска с картофелем — вариант с гречка,Треска с гречкой и капустой
Тунец с бурым рисом — вариант с перец,Тунец с бурым рисом и перцем
Тунец с цельнозерновой пастой — вариант с кабачок,Тунец с цельнозерновой пастой и шпинатом №2
