recipe,ingredient,grams,kcal_100,protein_100,fat_100,carbs_100,fiber_100,protein_contribution,kcal_contribution
Буррито-завтрак с яйцом и фасолью,Соль,0.7,0,0,0,0,0,0.0,0.0
Буррито-завтрак с яйцом и фасолью,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Буррито-завтрак с яйцом и фасолью,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Буррито-завтрак с яйцом и фасолью,Лимон,12,29,1.1,0.3,9.3,2.8,0.13,3.5
Буррито-завтрак с яйцом и фасолью,Тахини,15,595,17,54,21,9.3,2.55,89.2
Буррито-завтрак с яйцом и фасолью,Чеснок,2,149,6.4,0.5,33.1,2.1,0.13,3.0
Французский тост с творогом и малиной,Хлеб цельнозерновой,80,252,12.45,3.5,42.71,6,9.96,201.6
Французский тост с творогом и малиной,Яйца,60,143,12.6,9.5,0.7,0,7.56,85.8
Французский тост с творогом и малиной,Творог 5%,100,121,17,5,3,0,17.0,121.0
Французский тост с творогом и малиной,Малина,80,52,1.2,0.7,12,6.5,0.96,41.6
Французский тост с творогом и малиной,Мёд,10,304,0.3,0,82,0.2,0.03,30.4
Французский тост с творогом и малиной,Соль,1,0,0,0,0,0,0.0,0.0
Французский тост с творогом и малиной,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Фриттата со шпинатом и творогом,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Фриттата со шпинатом и творогом,Творог 5%,100,121,17,5,3,0,17.0,121.0
Фриттата со шпинатом и творогом,Шпинат,80,23,2.9,0.4,3.6,2.2,2.32,18.4
Фриттата со шпинатом и творогом,Соль,1,0,0,0,0,0,0.0,0.0
Фриттата со шпинатом и творогом,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Фриттата со шпинатом и творогом,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Рисовая каша с вишней,Рис,68,360,7,1,79,1.3,4.76,244.8
Рисовая каша с вишней,"Молоко 3,2%",180,60,3.2,3.2,4.7,0,5.76,108.0
Рисовая каша с вишней,Вишня,108,50,1,0.3,12,1.6,1.08,54.0
Рисовая каша с вишней,Миндаль,18,579,21,50,22,12.5,3.78,104.2
Кефирный боул с ягодами,"Кефир 2,5%",225,53,3,2.5,4,0,6.75,119.2
Кефирный боул с ягодами,Малина,90,52,1.2,0.7,12,6.5,1.08,46.8
Кефирный боул с ягодами,Черника,90,57,0.7,0.3,14,2.4,0.63,51.3
Кефирный боул с ягодами,Овсянка,54,370,13,7,62,10,7.02,199.8
Кефирный боул с ягодами,Соль,0.5,0,0,0,0,0,0.0,0.0
Смузи с бананом и черникой,Банан,108,89,1.1,0.3,23,2.6,1.19,96.1
Смузи с бананом и черникой,Черника,90,57,0.7,0.3,14,2.4,0.63,51.3
Смузи с бананом и черникой,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Смузи с бананом и черникой,Овсянка,54,370,13,7,62,10,7.02,199.8
Смузи с бананом и черникой,Соль,0.5,0,0,0,0,0,0.0,0.0
Смузи с манго и кефиром,Манго,126,60,0.8,0.4,15,1.6,1.01,75.6
Смузи с манго и кефиром,"Кефир 2,5%",225,53,3,2.5,4,0,6.75,119.2
Смузи с манго и кефиром,Банан,108,89,1.1,0.3,23,2.6,1.19,96.1
Смузи с манго и кефиром,Семена чиа,14,486,17,31,42,34,2.38,68.0
Смузи с клубникой и бананом,Клубника,120,32,0.7,0.3,7.7,2,0.84,38.4
Смузи с клубникой и бананом,Банан,100,89,1.1,0.3,23,2.6,1.1,89.0
Смузи с клубникой и бананом,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Смузи с клубникой и бананом,"Молоко 3,2%",120,60,3.2,3.2,4.7,0,3.84,72.0
Чиа-пудинг с малиной,Семена чиа,14,486,17,31,42,34,2.38,68.0
Чиа-пудинг с малиной,"Молоко 3,2%",180,60,3.2,3.2,4.7,0,5.76,108.0
Чиа-пудинг с малиной,Малина,90,52,1.2,0.7,12,6.5,1.08,46.8
Чиа-пудинг с малиной,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Чиа-пудинг с черникой,Семена чиа,14,486,17,31,42,34,2.38,68.0
Чиа-пудинг с черникой,"Молоко 3,2%",180,60,3.2,3.2,4.7,0,5.76,108.0
Чиа-пудинг с черникой,Черника,90,57,0.7,0.3,14,2.4,0.63,51.3
Чиа-пудинг с черникой,Банан,108,89,1.1,0.3,23,2.6,1.19,96.1
Тост с фетой и томатами,Хлеб цельнозерновой,54,252,12.45,3.5,42.71,6,6.72,136.1
Тост с фетой и томатами,Фета,63,265,14.2,21.5,3.9,0,8.95,166.9
Тост с фетой и томатами,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Тост с фетой и томатами,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Горячий сэндвич с индейкой,Хлеб цельнозерновой,54,252,12.45,3.5,42.71,6,6.72,136.1
Горячий сэндвич с индейкой,Индейка,153,114,23.7,1.5,0,0,36.26,174.4
Горячий сэндвич с индейкой,Фета,63,265,14.2,21.5,3.9,0,8.95,166.9
Горячий сэндвич с индейкой,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Горячий сэндвич с индейкой,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Горячий сэндвич с индейкой,Соль,0.8,0,0,0,0,0,0.0,0.0
Горячий сэндвич с индейкой,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Горячий сэндвич с индейкой,Горчица,7,66,4.4,4,5.8,3.3,0.31,4.6
Горячий сэндвич с индейкой,Мёд,6,304,0.3,0,82,0.2,0.02,18.2
Горячий сэндвич с индейкой,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Картофельный завтрак с яйцом,Картофель,225,77,2,0.1,17,2.2,4.5,173.2
Картофельный завтрак с яйцом,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Картофельный завтрак с яйцом,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Картофельный завтрак с яйцом,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Картофельный завтрак с яйцом,Соль,1,0,0,0,0,0,0.0,0.0
Картофельный завтрак с яйцом,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Картофельный завтрак с яйцом,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Картофельный завтрак с яйцом,Базилик,2,23,3.2,0.6,2.7,1.6,0.06,0.5
Батат с яйцом и авокадо,Батат,198,86,1.6,0.1,20,3,3.17,170.3
Батат с яйцом и авокадо,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Батат с яйцом и авокадо,Авокадо,63,160,2,15,8.5,6.7,1.26,100.8
Батат с яйцом и авокадо,Соль,1,0,0,0,0,0,0.0,0.0
Батат с яйцом и авокадо,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Киноа-омлет с овощами,Киноа,63,368,14,6,64,7,8.82,231.8
Киноа-омлет с овощами,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Киноа-омлет с овощами,Кабачок,162,17,1.2,0.3,3.1,1,1.94,27.5
Киноа-омлет с овощами,Перец,135,31,1,0.3,6,2.1,1.35,41.9
Киноа-омлет с овощами,Соль,1,0,0,0,0,0,0.0,0.0
Киноа-омлет с овощами,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Киноа-омлет с овощами,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Творожные панкейки с черникой,Творог 5%,140,121,17,5,3,0,23.8,169.4
Творожные панкейки с черникой,Яйца,60,143,12.6,9.5,0.7,0,7.56,85.8
Творожные панкейки с черникой,Овсянка,45,370,13,7,62,10,5.85,166.5
Творожные панкейки с черникой,Черника,90,57,0.7,0.3,14,2.4,0.63,51.3
Творожная миска с ежевикой,Творог 5%,180,121,17,5,3,0,30.6,217.8
Творожная миска с ежевикой,Ежевика,90,43,1.4,0.5,10,5.3,1.26,38.7
Творожная миска с ежевикой,Грецкие орехи,18,654,15,65,14,6.7,2.7,117.7
Йогурт с красной смородиной,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Йогурт с красной смородиной,Красная смородина,90,56,1.4,0.2,14,4.3,1.26,50.4
Йогурт с красной смородиной,Овсянка,54,370,13,7,62,10,7.02,199.8
Йогурт с красной смородиной,Миндаль,18,579,21,50,22,12.5,3.78,104.2
Йогурт с красной смородиной,Соль,0.5,0,0,0,0,0,0.0,0.0
Йогурт с чёрной смородиной,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Йогурт с чёрной смородиной,Чёрная смородина,90,63,1.4,0.4,15,6.8,1.26,56.7
Йогурт с чёрной смородиной,Семена чиа,14,486,17,31,42,34,2.38,68.0
Йогурт с чёрной смородиной,Банан,108,89,1.1,0.3,23,2.6,1.19,96.1
Перловая каша с грушей,Перловка,68,352,9.9,1.2,78,15.6,6.73,239.4
Перловая каша с грушей,Груша,144,57,0.4,0.1,15,3.1,0.58,82.1
Перловая каша с грушей,"Молоко 3,2%",180,60,3.2,3.2,4.7,0,5.76,108.0
Перловая каша с грушей,Фисташки,18,562,20,45,28,10,3.6,101.2
Курица с рисом и брокколи,Курица,170,120,22.5,2.6,0,0,38.25,204.0
Курица с рисом и брокколи,Рис,75,360,7,1,79,1.3,5.25,270.0
Курица с рисом и брокколи,Брокколи,180,34,2.8,0.4,7,2.6,5.04,61.2
Курица с рисом и брокколи,Оливковое масло,15,884,0,100,0,0,0.0,132.6
Курица с рисом и брокколи,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Курица с рисом и брокколи,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Курица с рисом и брокколи,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Курица с рисом и брокколи,Соль,0.8,0,0,0,0,0,0.0,0.0
Курица с рисом и брокколи,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Курица с рисом и брокколи,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Курица с рисом и брокколи,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Курица с рисом и брокколи,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Курица с гречкой и кабачком,Курица,170,120,22.5,2.6,0,0,38.25,204.0
Курица с гречкой и кабачком,Гречка,75,343,13,3.4,72,10,9.75,257.2
Курица с гречкой и кабачком,Кабачок,180,17,1.2,0.3,3.1,1,2.16,30.6
Курица с гречкой и кабачком,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Курица с гречкой и кабачком,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Курица с гречкой и кабачком,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Курица с гречкой и кабачком,Лимон,16,29,1.1,0.3,9.3,2.8,0.18,4.6
Курица с гречкой и кабачком,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Курица с гречкой и кабачком,Соль,0.8,0,0,0,0,0,0.0,0.0
Курица с гречкой и кабачком,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Курица с гречкой и кабачком,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Курица с гречкой и кабачком,Греческий йогурт 2%,35,73,9,2,4,0,3.15,25.6
Курица с гречкой и кабачком,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Курица с булгуром и перцем,Курица,170,120,22.5,2.6,0,0,38.25,204.0
Курица с булгуром и перцем,Булгур,75,342,12,1.3,76,12.5,9.0,256.5
Курица с булгуром и перцем,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Курица с булгуром и перцем,Шпинат,100,23,2.9,0.4,3.6,2.2,2.9,23.0
Курица с булгуром и перцем,Греческий йогурт 2%,45,73,9,2,4,0,4.05,32.9
Курица с булгуром и перцем,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Курица с булгуром и перцем,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Курица с булгуром и перцем,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Курица с булгуром и перцем,Соль,0.8,0,0,0,0,0,0.0,0.0
Курица с булгуром и перцем,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Курица с булгуром и перцем,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Курица с булгуром и перцем,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Курица с киноа и авокадо,Курица,170,120,22.5,2.6,0,0,38.25,204.0
Курица с киноа и авокадо,Киноа,70,368,14,6,64,7,9.8,257.6
Курица с киноа и авокадо,Авокадо,70,160,2,15,8.5,6.7,1.4,112.0
Курица с киноа и авокадо,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Курица с киноа и авокадо,Горчица,17,66,4.4,4,5.8,3.3,0.75,11.2
Курица с киноа и авокадо,Мёд,14,304,0.3,0,82,0.2,0.04,42.6
Курица с киноа и авокадо,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Курица с киноа и авокадо,Оливковое масло,9,884,0,100,0,0,0.0,79.6
Курица с киноа и авокадо,Соль,0.8,0,0,0,0,0,0.0,0.0
Курица с киноа и авокадо,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Курица с киноа и авокадо,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Индейка с гречкой и овощами,Индейка,170,114,23.7,1.5,0,0,40.29,193.8
Индейка с гречкой и овощами,Гречка,75,343,13,3.4,72,10,9.75,257.2
Индейка с гречкой и овощами,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Индейка с гречкой и овощами,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Индейка с гречкой и овощами,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Индейка с гречкой и овощами,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Индейка с гречкой и овощами,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Индейка с гречкой и овощами,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Индейка с гречкой и овощами,Соль,0.8,0,0,0,0,0,0.0,0.0
Индейка с гречкой и овощами,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Индейка с гречкой и овощами,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Индейка с гречкой и овощами,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Индейка с гречкой и овощами,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Индейка с бурым рисом,Индейка,170,114,23.7,1.5,0,0,40.29,193.8
Индейка с бурым рисом,Рис бурый,75,370,7.9,2.9,77,3.5,5.92,277.5
Индейка с бурым рисом,Брокколи,180,34,2.8,0.4,7,2.6,5.04,61.2
Индейка с бурым рисом,Оливковое масло,15,884,0,100,0,0,0.0,132.6
Индейка с бурым рисом,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Индейка с бурым рисом,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Индейка с бурым рисом,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Индейка с бурым рисом,Соль,0.8,0,0,0,0,0,0.0,0.0
Индейка с бурым рисом,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Индейка с бурым рисом,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Индейка с бурым рисом,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Индейка с бурым рисом,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Индейка с кускусом,Индейка,170,114,23.7,1.5,0,0,40.29,193.8
Индейка с кускусом,Кускус,75,376,12.8,0.6,77,5,9.6,282.0
Индейка с кускусом,Кабачок,180,17,1.2,0.3,3.1,1,2.16,30.6
Индейка с кускусом,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Индейка с кускусом,Греческий йогурт 2%,80,73,9,2,4,0,7.2,58.4
Индейка с кускусом,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Индейка с кускусом,Лимон,16,29,1.1,0.3,9.3,2.8,0.18,4.6
Индейка с кускусом,Укроп,6,43,3.5,1.1,7,2.1,0.21,2.6
Индейка с кускусом,Соль,0.8,0,0,0,0,0,0.0,0.0
Индейка с кускусом,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Говядина с булгуром,Говядина,160,176,21.4,10.0,0,0,34.24,281.6
Говядина с булгуром,Булгур,75,342,12,1.3,76,12.5,9.0,256.5
Говядина с булгуром,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Говядина с булгуром,Шпинат,100,23,2.9,0.4,3.6,2.2,2.9,23.0
Говядина с булгуром,Горчица,16,66,4.4,4,5.8,3.3,0.7,10.6
Говядина с булгуром,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Говядина с булгуром,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Говядина с булгуром,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Говядина с булгуром,Соль,0.9,0,0,0,0,0,0.0,0.0
Говядина с булгуром,Чёрный перец,0.4,251,10.4,3.3,64,25,0.04,1.0
