recipe,meal,status,issues,step_count,ingredients
"Боул с фасолью, киноа и авокадо",Обед,approved,,5,"Фасоль готовая, Киноа, Перец, Авокадо, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Творог с малиной,Перекус,approved,,3,"Творог 5%, Малина"
Творог с голубикой,Перекус,approved,,3,"Творог 5%, Голубика"
Творог с ягодами и орехами,Перекус,approved,,4,"Творог 5%, Черника, Малина, Миндаль"
Йогурт с клубникой,Перекус,approved,,3,"Греческий йогурт 2%, Клубника"
Йогурт с черникой и чиа,Перекус,approved,,4,"Греческий йогурт 2%, Черника, Семена чиа"
Кефир с голубикой,Перекус,approved,,4,"Кефир 2,5%, Голубика, Фисташки"
Яблоко с миндалём,Перекус,approved,,4,"Яблоко, Миндаль"
Груша с миндалём,Перекус,approved,,4,"Груша, Миндаль"
Банан с греческим йогуртом,Перекус,approved,,3,"Банан, Греческий йогурт 2%"
Киви с йогуртом,Перекус,approved,,3,"Киви, Греческий йогурт 2%"
Тост с творогом и перцем,Перекус,approved,,4,"Хлеб цельнозерновой, Творог 5%, Перец, Помидоры, Соль, Чёрный перец, Укроп"
Персик с йогуртом и миндалём,Перекус,approved,,4,"Персик, Греческий йогурт 2%, Миндаль"
Ягодный микс с йогуртом,Перекус,approved,,3,"Клубника, Малина, Черника, Греческий йогурт 2%"
Ежевика с творогом,Перекус,approved,,4,"Ежевика, Творог 5%, Мёд"
Смородина с йогуртом,Перекус,approved,,4,"Чёрная смородина, Греческий йогурт 2%, Мёд"
Хумус с огурцом и перцем,Перекус,approved,,4,"Хумус, Огурцы, Перец"
Хумус с морковью и огурцом,Перекус,approved,,4,"Хумус, Морковь, Огурцы"
Тост с хумусом и помидором,Перекус,approved,,4,"Хлеб цельнозерновой, Хумус, Помидоры"
"Тост с рикоттой, помидорами и базиликом",Перекус,approved,,4,"Хлеб цельнозерновой, Рикотта, Помидоры, Базилик, Чёрный перец"
Тост с тунцом в собственном соку и огурцом,Перекус,approved,,5,"Хлеб цельнозерновой, Тунец консервированный в собственном соку, Огурцы"
Яйцо с помидорами и огурцом,Перекус,approved,,4,"Яйца, Помидоры, Огурцы, Соль, Чёрный перец"
Мини-омлет со шпинатом,Перекус,approved,,5,"Яйца, Шпинат, Моцарелла"
Смузи клубника-банан,Перекус,approved,,2,"Клубника, Банан, Кефир 2,5%"
Смузи черника-йогурт,Перекус,approved,,2,"Черника, Греческий йогурт 2%, Банан"
Смузи киви-манго,Перекус,approved,,2,"Киви, Манго, Кефир 2,5%"
Ореховый перекус с яблоком,Перекус,approved,,4,"Яблоко, Грецкие орехи"
Фисташки с мандарином,Перекус,approved,,3,"Фисташки, Мандарин"
Фета с помидорами и огурцом,Перекус,approved,,3,"Фета, Помидоры, Огурцы"
Мини-тост с авокадо и помидором,Перекус,approved,,3,"Авокадо, Хлеб цельнозерновой, Помидоры"
Чиа-йогурт с клюквой,Перекус,approved,,4,"Семена чиа, Греческий йогурт 2%, Клюква"
Курица с овощами на сковороде,Ужин,approved,,4,"Курица, Кабачок, Перец, Брокколи, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Курица с цветной капустой,Ужин,approved,,4,"Курица, Цветная капуста, Шпинат, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок"
Индейка с брокколи,Ужин,approved,,4,"Индейка, Брокколи, Кабачок, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с бататом,Ужин,approved,,5,"Индейка, Батат, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Говядина с овощами,Ужин,approved,,4,"Говядина, Брокколи, Перец, Кабачок, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Свинина с капустой,Ужин,approved,,5,"Свинина постная, Капуста, Морковь, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Уксус винный"
Форель с брокколи и картофелем,Ужин,approved,,5,"Форель, Брокколи, Картофель, Лимон, Оливковое масло, Укроп, Соль, Чёрный перец"
Лосось с бататом,Ужин,approved,,5,"Лосось свежий, Батат, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Форель с овощами,Ужин,approved,,4,"Форель, Кабачок, Помидоры, Салат, Лимон, Оливковое масло, Чёрный перец, Соль"
Треска с брокколи,Ужин,approved,,5,"Треска, Брокколи, Картофель, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Треска с цветной капустой,Ужин,approved,,4,"Треска, Цветная капуста, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Салат с тунцом в собственном соку и авокадо,Ужин,approved,,5,"Тунец консервированный в собственном соку, Салат, Огурцы, Помидоры, Авокадо, Лимон, Оливковое масло, Чёрный перец, Горчица"
Креветки с кабачком,Ужин,approved,,4,"Креветки сырые, Кабачок, Перец, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Креветки с брокколи,Ужин,approved,,4,"Креветки сырые, Брокколи, Помидоры, Оливковое масло, Лимон, Чёрный перец, Соль"
Скумбрия с салатом,Ужин,approved,,4,"Скумбрия, Салат, Огурцы, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль"
Омлет с овощами,Ужин,approved,,4,"Яйца, Шпинат, Помидоры, Перец, Соль, Чёрный перец"
Омлет с фетой и шпинатом,Ужин,approved,,6,"Яйца, Фета, Шпинат, Оливковое масло, Соль, Чёрный перец"
Тофу с брокколи,Ужин,approved,,4,"Тофу, Брокколи, Перец, Оливковое масло, Соевый соус, Имбирь, Чеснок"
Тофу с баклажаном,Ужин,approved,,4,"Тофу, Баклажан, Помидоры, Шпинат, Соевый соус, Имбирь, Чеснок, Лайм"
Чечевица с овощами,Ужин,approved,,4,"Чечевица готовая, Помидоры, Морковь, Шпинат, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Нут с брокколи,Ужин,approved,,5,"Нут готовый, Брокколи, Помидоры, Греческий йогурт 2%, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Фасоль с овощами,Ужин,approved,,4,"Фасоль готовая, Перец, Помидоры, Авокадо, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тёплый салат с курицей,Ужин,approved,,4,"Курица, Салат, Помидоры, Огурцы, Авокадо, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Тёплый салат с индейкой и свёклой,Ужин,approved,,4,"Индейка, Салат, Свёкла, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Тёплый салат с форелью,Ужин,approved,,4,"Форель, Салат, Помидоры, Авокадо, Лимон, Оливковое масло, Чёрный перец, Соль"
Запечённый картофель с творогом и зеленью,Ужин,approved,,5,"Картофель, Творог 5%, Огурцы, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец"
"Батат с чечевицей, фетой и шпинатом",Ужин,approved,,6,"Батат, Чечевица готовая, Фета, Шпинат, Лимон, Оливковое масло"
Запечённая цветная капуста с нутом,Ужин,approved,,5,"Цветная капуста, Нут готовый, Греческий йогурт 2%, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Баклажан с индейкой,Ужин,approved,,5,"Баклажан, Индейка, Помидоры, Моцарелла, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Кабачок с курицей и сыром,Ужин,approved,,5,"Кабачок, Курица, Грюйер, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Тыква с чечевицей,Ужин,approved,,4,"Тыква, Чечевица готовая, Шпинат, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
"Боул с фасолью, киноа и сладким перцем",Ужин,approved,,5,"Перец, Фасоль готовая, Киноа, Помидоры, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Киноа с яйцом и овощами,Ужин,approved,,5,"Киноа, Яйца, Брокколи, Перец, Соль, Чёрный перец, Лимон, Оливковое масло, Петрушка"
Гречка с тофу и шпинатом,Ужин,approved,,5,"Гречка, Тофу, Шпинат, Помидоры, Соевый соус, Имбирь, Чеснок, Лайм"
Булгур с креветками,Ужин,approved,,5,"Булгур, Креветки сырые, Кабачок, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Кускус с тунцом в собственном соку и овощами,Ужин,approved,,6,"Кускус, Тунец консервированный в собственном соку, Огурцы, Помидоры, Лимон, Оливковое масло, Чёрный перец"
Паста с тунцом и шпинатом,Ужин,approved,,6,"Макароны цельнозерновые, Тунец консервированный в собственном соку, Шпинат, Помидоры, Лимон, Оливковое масло, Чёрный перец, Томатная паста, Чеснок, Базилик, Соль"
Паста с тофу и овощами,Ужин,approved,,5,"Макароны цельнозерновые, Тофу, Кабачок, Перец, Соевый соус, Имбирь, Чеснок, Томатная паста, Базилик, Оливковое масло, Соль, Чёрный перец"
Рис с яйцом и овощами,Ужин,approved,,4,"Рис бурый, Яйца, Морковь, Зелёная фасоль, Соль, Чёрный перец"
Мультиварочный нут с овощами,Ужин,approved,,4,"Нут готовый, Кабачок, Морковь, Помидоры, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Овсянка с клубникой и йогуртом,Завтрак,approved,,2,"Овсянка, Греческий йогурт 2%, Клубника, Семена чиа, Соль"
Овсянка с вишней и миндалём,Завтрак,approved,,3,"Овсянка, Вишня, Миндаль, Молоко 3,2%, Соль"
Овсянка с грушейм и льном,Завтрак,approved,,3,"Овсянка, Груша, Семена льна, Молоко 3,2%, Соль"
Гречневая каша с грушейм,Завтрак,approved,,3,"Гречка, Груша, Молоко 3,2%, Семена чиа"
Йогурт-боул с вишней и чиа,Завтрак,approved,,3,"Греческий йогурт 2%, Вишня, Семена чиа, Банан"
Творог с клубникой и бананом,Завтрак,approved,,4,"Творог 5%, Клубника, Банан, Семена чиа"
Омлет с брокколи и помидорами,Завтрак,approved,,6,"Яйца, Брокколи, Помидоры, Чеддер, Соль, Чёрный перец, Оливковое масло, Базилик"
Омлет с зелёной фасолью и сыром,Завтрак,approved,,5,"Яйца, Зелёная фасоль, Гауда, Соль, Чёрный перец"
Омлет с курицей и перцем,Завтрак,approved,,6,"Яйца, Курица, Перец, Соль, Чёрный перец, Оливковое масло, Чеснок, Соевый соус, Имбирь"
Скрэмбл с треской и шпинатом,Завтрак,approved,,5,"Яйца, Треска, Шпинат, Соль, Чёрный перец, Оливковое масло, Лимон"
Французский тост с творогом и вишней,Завтрак,approved,,6,"Хлеб цельнозерновой, Яйца, Творог 5%, Вишня, Мёд, Соль, Чёрный перец"
Фриттата с брокколи и творогом,Завтрак,approved,,6,"Яйца, Творог 5%, Брокколи, Соль, Чёрный перец, Оливковое масло"
Каша из булгура с вишней,Завтрак,approved,,3,"Булгур, Молоко 3,2%, Вишня, Миндаль"
Смузи с бананом и клубникой,Завтрак,approved,,3,"Банан, Клубника, Греческий йогурт 2%, Овсянка, Соль"
Чиа-пудинг с вишней,Завтрак,approved,,3,"Семена чиа, Молоко 3,2%, Вишня, Греческий йогурт 2%"
Чиа-пудинг с клубникой,Завтрак,approved,,3,"Семена чиа, Молоко 3,2%, Клубника, Банан"
Горячий сэндвич с курицей,Завтрак,approved,,5,"Хлеб цельнозерновой, Курица, Фета, Помидоры, Чёрный перец, Соль, Чеснок, Горчица, Мёд, Оливковое масло"
Бататомный завтрак с яйцом,Завтрак,approved,,5,"Батат, Яйца, Шпинат, Помидоры, Соль, Чёрный перец, Оливковое масло, Базилик"
Индейка с рисом и брокколи,Обед,approved,,5,"Индейка, Рис, Брокколи, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Тофу с гречкой и кабачком,Обед,approved,,6,"Тофу, Гречка, Кабачок, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Греческий йогурт 2%, Укроп"
Курица с кускусом и перцем,Обед,approved,,6,"Курица, Кускус, Перец, Шпинат, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец, Соевый соус, Имбирь"
Тофу с киноа и авокадо,Обед,approved,,5,"Тофу, Киноа, Авокадо, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Курица с гречкой и овощами,Обед,approved,,5,"Курица, Гречка, Перец, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Курица с бурым рисом,Обед,approved,,5,"Курица, Рис бурый, Брокколи, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Курица с кускусом,Обед,approved,,6,"Курица, Кускус, Кабачок, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Говядина с кускусом,Обед,approved,,5,"Говядина, Кускус, Перец, Шпинат, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с гречкой и свёклой,Обед,approved,,5,"Индейка, Гречка, Свёкла, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок, Уксус винный"
Свинина с бататом и капустой,Обед,approved,,5,"Свинина постная, Батат, Капуста, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Уксус винный"
Форель с киноа и авокадо,Обед,approved,,5,"Форель, Киноа, Авокадо, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль"
Лосось с картофелем и зелёной фасолью,Обед,approved,,5,"Лосось свежий, Картофель, Зелёная фасоль, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Форель с кускусом,Обед,approved,,5,"Форель, Кускус, Зелёная фасоль, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Треска с булгуромом и овощами,Обед,approved,,5,"Треска, Булгур, Кабачок, Перец, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Лосось с картофелем,Обед,approved,,5,"Лосось свежий, Картофель, Капуста, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Креветки с булгуромом и брокколи,Обед,approved,,5,"Креветки сырые, Булгур, Брокколи, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Скумбрия с бататом,Обед,approved,,5,"Скумбрия, Батат, Салат, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Чечевица с киноа и брокколи,Обед,approved,,5,"Чечевица готовая, Киноа, Брокколи, Помидоры, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тофу с гречкой и зелёной фасолью,Обед,approved,,5,"Тофу, Гречка, Зелёная фасоль, Перец, Соевый соус, Имбирь, Чеснок"
Тофу с булгуромом и овощами,Обед,approved,,5,"Тофу, Булгур, Кабачок, Морковь, Соевый соус, Имбирь, Чеснок"
Паста с тофу и шпинатом,Обед,approved,,5,"Тофу, Макароны цельнозерновые, Шпинат, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Паста с курицей и кабачком,Обед,approved,,5,"Курица, Макароны цельнозерновые, Кабачок, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Кускус с говядиной и овощами,Обед,approved,,5,"Говядина, Кускус, Баклажан, Перец, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Кускус с тофу и овощами,Обед,approved,,6,"Тофу, Кускус, Огурцы, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Перловка с курицей и овощами,Обед,approved,,5,"Курица, Перловка, Шпинат, Кабачок, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Бататомный боул с тунцом,Обед,approved,,7,"Батат, Тунец консервированный в собственном соку, Огурцы, Греческий йогурт 2%, Лимон, Оливковое масло, Чёрный перец"
